# General
## Title
### Electricity Demand
## Abstract
### ERA5
## Date
### 2024-12-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MW hours
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
1979-01-31,6873662.2,1204530.7,8664589.5,4027722.8,7161477.3,400982.3,7062077.1,49353923.2,3467384.9,917763.3,4687779.2,22330623.8,9581142.9,58653970.7,1669692.8,3775685.5,2634393.8,27663028.4,1065339.1,571819.6,749197.7,347558.4,865537.5,10747210.1,15888574.6,14131814.4,4648250.2,4901911.6,4260063.9,16363082.6,1304564.9,2707495.3,36489824.0
1979-02-28,6009185.6,1016210.1,7420187.4,3474317.7,5703782.8,329944.8,5888133.5,44385232.5,3110265.8,801777.3,4017573.3,20478669.9,8244268.100000001,47454664.2,1417880.4,3323335.8,2323700.2,25116417.5,951354.8,530678.9,655364.3,289779.3,711248.7,9548485.4,13639215.8,12673168.9,4129427.6,4459120.1,3619391.5,14479310.2,1139129.5,2383162.7,32338306.7
1979-03-31,6309553.2,1061714.2,7748871.9,3357757.5,5740873.3,327549.2,5978083.0,46283932.8,3182702.1,773848.5,3989199.6,22180854.0,7951572.7,47690364.3,1456891.0,3474546.7,2429952.2,26771960.5,962718.9,568938.5,657126.0,296543.1,711247.1,9840735.0,13014294.6,13302055.1,4457914.3,4620854.1,3589851.2,13625719.5,1201211.9,2501935.4,32733569.4
1979-04-30,5699487.9,999384.2,7009883.9,2986155.6,5133301.9,289192.9,5296129.8,42093966.8,2719228.2,684840.5,3602346.2,19594550.2,7081695.3,41814226.9,1323528.7,3220874.3,2155888.8,23997822.8,858682.8,520143.0,580227.1,276175.7,668108.6,8933089.5,10824813.7,11945923.6,3912292.7,4189969.7,3244415.6,11466920.9,1086111.1,2245782.7,28066132.3
1979-05-31,5590908.0,957324.5,6956371.3,2739645.4,5080207.7,303567.8,5082223.7,43197681.8,2687574.7,621654.2,3603187.6,19677788.3,6471259.9,37350438.4,1327528.3,3296626.5,2141455.6,25256877.8,852629.6,531327.9,555815.8,250163.0,583264.6,9144913.7,10104661.1,12030658.1,3923303.6,4109049.9,2885109.0,10422346.2,1109143.3,2240872.6,27650355.0
1979-06-30,5290652.8,915105.9,6557965.6,2651674.4,4631714.3,356674.9,4697523.1,40313289.3,2515766.0,546208.9,3978938.3,19509892.4,5598656.7,32479264.6,1321088.2,3237585.9,1976650.2,25720506.3,822477.2,500558.8,518463.7,246926.7,533046.3,8661808.7,8435164.3,11596810.1,3834241.9,3954007.1,2674737.5,9141630.8,1086504.3,2149071.4,24478882.2
1979-07-31,5436465.7,951338.7,6474443.7,2770203.5,4655210.4,420204.0,4526398.6,41486193.2,2423321.7,549474.3,4422736.6,21047348.7,5749327.7,33465163.4,1410348.5,3225007.8,2010473.2,27953247.2,830872.6,529195.3,527288.4,274194.4,555474.7,8839968.0,8193194.7,11724008.0,4155265.1,3989874.4,2716800.5,8728974.4,1076582.2,2143582.5,24793969.5
1979-08-31,5334207.4,962318.4,6581525.0,2822522.6,4646924.5,412303.3,4603086.6,41413168.1,2616013.9,573930.5,4008561.9,20043316.0,6087254.2,31361988.8,1413655.3,3152100.0,2038511.4,23236839.7,863842.1,467954.10000000003,551030.6,280315.3,560395.3,8870429.1,8569095.3,11810376.1,3893220.2,3941383.0,2740241.0,9424644.7,1049534.3,2155418.0,24792575.8
1979-09-30,5423138.9,934145.1,6649606.4,2682122.6,4667429.1,347380.3,4728957.6,41847532.8,2630581.2,590642.9,3623403.8,19505601.7,6232261.7,33174033.6,1298750.4,3187089.0,2038998.0,25236911.6,847481.7,513343.8,545827.6,245151.5,540638.1,8846691.5,9242328.0,11870344.3,3870438.5,3890822.8,2714927.7,9983494.4,1072812.1,2173131.4,25244152.0
1979-10-31,5885121.5,1038301.6,7005249.9,3192804.1,4938642.8,315840.4,5372723.1,44872727.2,2893968.8,684278.1,3810570.2,19936327.6,7308666.2,38147127.9,1369261.8,3412128.2,2202394.8,26189127.3,941088.5,537133.7,620031.0,262978.7,647758.0,9510412.1,11359752.1,13015370.9,4001011.3000000003,4534029.6,3360807.3,12040560.2,1120563.5,2398852.8,28101553.0
