# General
## Title
### Hydropower (Reservoir)
## Abstract
### ERA5
## Date
### 2024-11-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### W
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-07-31,0.0,286290.81,0.0,0.0,0.0,468460.02,0.0,0.0,28727.65,0.0,0.0,0.0,660180.02,0.0,475081.61,0.0,0.0,0.0,0.0,319335.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3665141.44,0.0,76681.68,261161.82,0.0,1821688.9,0.0,5253.54,0.0,0.0
1979-08-31,0.0,661263.03,0.0,0.0,0.0,846080.64,0.0,0.0,74972.16,0.0,0.0,0.0,1273636.23,0.0,1019868.61,0.0,0.0,0.0,0.0,634001.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8783625.69,0.0,145669.29,646342.62,0.0,5047394.78,0.0,14562.25,0.0,0.0
1979-09-30,0.0,374513.32,0.0,0.0,0.0,764883.12,0.0,0.0,54716.55,0.0,0.0,0.0,1057150.5,0.0,1037139.08,0.0,0.0,0.0,0.0,494387.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9251254.02,0.0,125320.72,494434.19,0.0,5948536.13,0.0,14123.64,0.0,0.0
1979-10-31,0.0,367215.5,0.0,0.0,0.0,739583.83,0.0,0.0,85118.31,0.0,0.0,0.0,1829878.49,0.0,1159295.02,0.0,0.0,0.0,0.0,543083.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10674045.24,0.0,246932.82,595090.31,0.0,6009154.94,0.0,17390.74,0.0,0.0
