# General
## Title
### Hydropower (Run Of River)
## Abstract
### ERA5
## Date
### 2024-11-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### W
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979-07-31,0.0,1402266.95,0.0,0.0,0.0,70466.8,0.0,0.0,723135.57,0.0,0.0,0.0,267117.93,318452.05,1451473.87,0.0,0.0,0.0,0.0,1357587.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407137.39,0.0,197188.29,481285.83,0.0,0.0,0.0,112194.94,0.0,0.0
1979-08-31,0.0,3016677.02,0.0,0.0,0.0,120277.42,0.0,0.0,1754314.73,0.0,0.0,0.0,537553.45,889133.59,3020163.11,0.0,0.0,0.0,0.0,2855147.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964270.16,0.0,265626.03,1145242.21,0.0,0.0,0.0,298292.02,0.0,0.0
1979-09-30,0.0,2148795.66,0.0,0.0,0.0,96049.21,0.0,0.0,1461332.5,0.0,0.0,0.0,470854.45,1255991.79,2502419.05,0.0,0.0,0.0,0.0,2487592.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961743.1,0.0,251467.63,776679.82,0.0,0.0,0.0,226903.74,0.0,0.0
1979-10-31,0.0,1865064.0,0.0,0.0,0.0,107903.61,0.0,0.0,1139515.41,0.0,0.0,0.0,690116.3,1146484.11,3084132.5,0.0,0.0,0.0,0.0,2937439.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999567.11,0.0,486859.49,713267.64,0.0,0.0,0.0,195533.11,0.0,0.0
