# General
## Title
### Mean Sea Level Pressure
## Abstract
### ERA5
## Date
### 2024-11-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### Pa
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-31,101462.09054704302,101472.40109811828,101475.51437903226,101363.52864112903,101459.5371545699,101521.46180107526,101727.75781048388,101465.13070430107,101424.226125,101279.51393817205,101456.7080564516,101501.82113844086,101389.16705241936,101581.27620564515,101376.81349462365,101447.52276747311,101429.0317688172,101092.93375672043,101268.65962096774,101382.07966532258,,101352.41081048388,101476.75874865592,101401.64298521505,101480.5681532258,101552.25957258063,,101291.64445698925,101341.73183870969,101327.82481989247,101368.70963709678,101408.57616801075,101491.12199596774,101465.67718951612,101455.92182930108,101416.86872849464,101860.6401344086,101125.99152419355
1979-02-28,101224.96969494049,101281.41308630952,101240.31585714285,101170.89160267857,101627.52764136906,101113.82545982144,101429.94041815476,101414.1904955357,101295.10193898811,101416.57965922619,101565.8083467262,101406.76640922618,101434.48464136905,101203.74152232143,101103.25158184522,101262.03540178572,101436.94247470237,101050.53141964287,100566.81266369048,101004.03150595239,,101762.23827232144,101169.10996279761,101680.29201488095,101242.78249107144,101422.74821279761,,101242.6176294643,101194.30363690476,101626.36351934524,101541.04695833332,101686.03997172619,101433.69657589287,101248.1727202381,101317.36015773809,101504.23447321428,101597.7662455357,101270.8652485119
1979-03-31,101525.38216935485,101089.93666801075,101324.65093010753,100694.67923521505,101465.16597849462,101164.06998655913,101479.42510887097,100980.20245698925,100809.87092876344,100393.54303225807,101034.7868467742,101532.01691532257,101620.93989650538,100786.97374193548,101092.2344623656,101245.61105510753,101185.15989112903,100488.23946639785,100214.48791532259,101272.81433198926,,101062.50052553763,100862.51299059141,101069.62622311828,101468.35062231183,101474.8677701613,,100543.73027956988,100116.19563844087,100992.09417876345,101786.76872849463,101385.49234677419,101347.37465860216,100400.07632258064,101197.56350268818,101147.80715860214,101596.08774462367,100271.91944758066
1979-04-30,101281.08484861112,101257.11099722222,101234.31172916666,101218.9368736111,101263.28145416666,101349.74960972222,101324.85193472223,101252.65201111112,101238.63068611111,101139.43990138889,101455.97528333333,101323.31926111112,101714.4638861111,101551.39233472223,101386.80455277777,101207.69883611111,101217.92623750001,101266.75273194443,101723.02165277778,101192.26301388889,,101412.93898888888,101270.4262111111,101433.72226388889,101284.24018194443,101286.63621944444,,101152.74221527777,101296.46849583334,101322.7128388889,101834.88451527778,101234.69883611111,101236.31226527778,101385.1870125,101208.26586527776,101234.66004305557,101384.57936666666,101132.82266944445
1979-05-31,101626.84770026882,101809.65657930108,101765.55839516128,101580.08318817205,101620.49254569891,101834.21314919356,101242.17179301074,101790.46989112905,101679.70459677419,101462.19285752688,101782.63570698925,101531.06870295698,101746.35150537634,101307.67144758064,101710.8611814516,101738.05333467742,101759.8645766129,101098.79358333333,101592.59761827957,101737.59153091398,,101933.04732795699,101687.04025134408,101882.73131182796,101742.80758064517,101624.82872983871,,101511.75551344086,101058.98798790322,101860.12922043011,101817.57363978495,101731.85677822582,101728.35161155915,101186.37095698925,101785.5798373656,101832.02316935484,101364.1657889785,101164.00365053765
1979-06-30,101544.37265555556,101719.16361944444,101559.31788749999,101820.31590555556,101485.7453736111,101863.20065555556,100940.37942361111,101653.24847361111,101730.10515416667,101634.18309861112,101603.55979027777,101431.0209736111,101741.34867361111,101222.25036527777,101872.4168625,101500.07737083334,101490.94835,101831.0942125,100896.0623736111,101581.68308472222,,101725.48849861111,101815.59164305555,101690.84174166668,101622.80297361112,101513.30994722222,,101768.5069875,101318.81158055556,101684.4497388889,101698.39421666667,101533.70283472221,101504.23390138888,101337.44664166667,101574.8793013889,101593.90061111111,101187.39297361112,101740.34846805556
1979-07-31,101647.89579166667,101893.18242069893,101785.58576747312,101956.13201478495,101576.45415994622,102027.71661693549,100781.34647311828,101754.66090860216,101783.39383602151,101291.4650672043,100794.90260752689,101500.71646236558,101844.515327957,100890.1779516129,102009.85965053763,101732.75815860214,101648.44794892473,101988.09195430108,100899.22733198926,101717.3024623656,,101056.63119758065,101964.67648521507,100910.40725268818,101792.63720295699,101650.76425940859,,101839.28955376345,101051.79254166665,101462.76702150538,101759.69001209678,101561.04914784947,101699.74361290321,100910.17077688171,101788.68447849463,101660.66519623656,101112.56068951612,101831.97797311828
1979-08-31,101300.89638172043,101541.57081048387,101405.33145161289,101447.6098077957,101270.19095430107,101634.8556048387,100666.09972983871,101462.88848790323,101416.3426169355,101146.64680241936,101214.88879435483,101181.97962903226,101591.87370026883,101157.93682258065,101617.83531854839,101363.80536962365,101351.72100940859,101205.21040994624,100905.70467069893,101350.37116129031,,101285.19377688173,101516.62136021505,101258.78194892472,101415.63044354838,101298.31449193548,,101335.99741532259,101016.2055295699,101357.10171639785,101603.74141666666,101314.77872446238,101333.47872983871,101049.63037634408,101442.86648521507,101420.10136693547,100892.37454569893,101171.2725873656
1979-09-30,101810.52207083334,102009.36682083334,101908.86018472223,102047.96446666666,101858.8897513889,102066.61927638888,101144.09330416667,101970.34716527778,101978.61425000001,101526.71829583333,101080.87318333333,101738.53414583333,101914.39042916667,100509.68472638889,102025.26477777777,101877.9041111111,101868.23378194444,101755.11309583334,100448.64508055557,101822.7720875,,101456.66563472222,102070.79337916666,101287.77261805555,101920.3820402778,101864.97014027779,,101948.04645694444,100672.41769583333,101790.28307777777,101869.48275833332,101865.9308625,101890.27557777776,100739.14461666666,101935.75371666666,101898.28219305557,101500.97993333334,101705.37208333334
1979-10-31,101699.78434543012,101727.74400268818,101832.61057795698,101282.20298655915,102000.80876075268,101471.97791129032,101438.37891801076,101849.44438440859,101584.3409704301,101727.29986290324,101974.68758198926,101760.2158373656,101198.48529838711,101833.9432768817,101193.20411021505,101830.36594623656,101972.79913172044,100656.91995161292,100293.23483870967,101553.05434139786,,102159.68528629032,101376.57059811828,102086.89585349463,101790.39605376344,101867.34368010753,,101336.32787231184,101734.40875806451,102069.38161155913,101161.86761424731,102082.93230107527,101939.9769327957,101886.00927150538,101859.87329435485,102027.26983870969,101688.59239112902,100956.49823387097
