# General
## Title
### Solar PV Power
## Abstract
### ERA5
## Date
### 2024-11-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MW/MW
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-07-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-31,68.18268837549999,75426.57203452138,945.216013619912,157669.75387376847,66485.22471717402,128884.08810090135,10488.259402826283,81049.38189609435,1646744.1216520905,23405.462114891074,434.3347919971381,184972.32127552675,266962.6277559539,792.1786713410091,465766.6099553229,3404.8731274636193,31676.185893562226,879.3218365683506,0.0,1228198.7585018335,0.0,2082.0042697699046,86.655876142096,48.89095043415909,1210.602098082558,316652.6823572461,0.0,18743.872343690724,9189.179853971998,37987.90341870055,570.2610461813598,23840.974297246634,11750.81577439664,4959.743175115273,257763.42503604485,520032.0404122796,0.0,0.0
1979-02-28,75.2396051704364,88722.51977021036,1139.7351748191227,194056.86564059422,69291.1380893876,148821.85825693526,12087.72188063682,115808.61183864764,2247913.1870369692,48930.80153973255,1453.8330446976654,179814.0835244936,359442.36995845265,3895.645449908509,492382.7612023255,3784.6733442402774,42128.33370417232,874.4557205868447,0.0,1261085.5015969246,0.0,6919.986783188426,93.376501865973,170.57070655473973,1498.1285300941504,338964.1843675565,0.0,26272.09041549225,25074.82696268676,76788.23031668772,667.34543676706,29754.930483310007,15154.753057791782,18698.39148990703,253067.96855011323,838548.7100793468,0.0,0.0
1979-03-31,113.8064407874963,137023.26656703543,1865.7257356597918,260359.0638095742,118265.23651240782,206720.35363047774,16292.564689893985,169715.8419606164,3203700.189516684,70656.59422180873,2311.8537632981834,316073.28801770596,557241.7327367836,7915.346599489821,746391.2873544828,6427.656239610658,65194.76142669254,1906.4600895020615,0.0,2089738.0621712625,0.0,8884.764177163644,119.5228012058254,240.19937101041108,2209.8277844620325,537127.6949700275,0.0,38497.64557898679,50527.48401368775,105743.89859342549,1056.3216183270529,48123.16916068763,25777.55681730452,29395.665166062536,402404.51598012366,1043196.0061182589,0.0,0.0
1979-04-30,113.1746995406102,161557.5812546545,2234.597133285143,398726.92300529685,117754.15085585442,280067.8197954475,18543.479855240454,201674.911073784,4260195.5307223685,92323.70654515178,3501.6162812664375,318718.74127699266,642206.2583048183,13959.680339818467,1051058.1419638079,8155.997050494867,82782.48499309857,2269.072996008575,0.0,2440877.6269603926,0.0,14205.90293615517,203.907843270704,378.6474287242775,2345.7115831259825,516604.5616598108,0.0,56321.10380832665,72140.20009621757,139749.62448579515,1332.960713746442,55135.798984788904,25788.606594923465,43320.59196541318,571824.007142941,1393427.8875777991,0.0,0.0
1979-05-31,138.23469435021,208472.11821411416,2311.7226220013877,478022.4735904585,120515.15927671653,329217.5326845908,18964.1716659208,291831.02056521416,5965109.7333144955,131755.31130256358,4463.147726463239,363923.8418587608,699823.2121997272,17684.696453008502,1241849.18191079,9610.43303029846,102873.11522730227,2940.380724058246,0.0,3048606.632269266,0.0,18117.174118507293,248.899790919712,477.8295566197467,2570.761401708014,585390.2663127666,0.0,65926.60318207485,87330.91109014838,191562.53783285315,1446.858061055,62163.44276613908,27401.35579078409,63038.17911339081,717606.8203032478,1774388.5720835056,0.0,0.0
1979-06-30,140.6431527380161,158246.5639247853,2322.475522245776,445245.9769637233,137080.26650751196,264983.32521441014,18462.72083674065,232587.7529531415,5127179.658401735,137125.9411751307,4669.323743290018,387822.86237053457,712294.1666521695,17429.79953411074,1133108.9711074983,8819.8392805964,91092.30276245883,2667.89954775058,0.0,2772044.110359531,0.0,18076.59127496189,223.838192588068,476.24138570960366,2718.7980356719386,615553.076702725,0.0,64625.35128207504,78604.72913887177,172778.13166055293,1562.3216618373308,62888.38721712326,28471.431786841535,62694.401684752884,624611.4521328168,1545838.158867406,0.0,0.0
1979-07-31,152.21414824996245,141330.1797029785,2265.4014909236953,417864.12267308304,139579.30714419813,273248.8667842589,19445.687260356543,211293.00669197898,4528358.670151305,125772.16151632903,3424.303706487016,401009.77077792503,735984.3045082757,15821.261555261482,1275287.0676696892,8506.973570020975,84483.33365420572,2515.487759238775,0.0,2836249.8472679215,0.0,13535.785335586608,217.749771005376,362.95568504284313,2857.1764863625826,655892.5551515652,0.0,59304.7476975301,69196.9510108147,142135.83784245886,1546.1818970347422,58877.350481771384,28538.293226170677,48479.153596877055,580058.0178238169,1387295.4287108043,0.0,0.0
1979-08-31,128.2213068687665,156412.71232279376,2146.304612035415,383590.98444410024,116025.74517947451,245117.02952171688,18690.079799832525,213571.1853758961,4583537.3402374685,100276.05888754182,3047.1933009383,364333.06764062,724902.1786404274,12386.987871417681,1026909.4396658947,8309.569948136286,82985.52795499108,2121.950709847194,0.0,2590613.948841034,0.0,11831.542405334982,185.592204602696,314.8230243626988,2438.3067995083893,524420.0264158882,0.0,54732.70797663566,54145.77365310199,136404.6616216569,1624.5975186811195,52258.90085752056,24370.588038448583,42257.62948905877,597379.3498108799,1370351.8309594346,0.0,0.0
1979-09-30,120.0127553180603,131764.02913516862,1877.2073150483352,320645.6607062404,113336.42607443623,222271.1295601947,16965.124626963127,162220.6811038714,3524625.137905397,72758.83257243103,2204.518042057509,330437.8823320411,574001.184783097,7158.038331296488,949150.145405268,6838.3183824272555,71607.92789135192,1551.1670154905248,0.0,2169902.430707836,0.0,8414.07899342264,165.86492633506,224.65767468511822,2283.230058341357,529141.1873051879,0.0,40547.93007158982,39003.95841741243,97664.59882210025,1321.666664920727,50265.479424530546,22943.2260630468,31661.419881721908,452810.84770928184,1185366.0443817961,0.0,0.0
1979-10-31,85.60924163510774,107694.11213908331,1402.2121635008618,235172.78983134104,75145.67070708588,162319.83276390872,14574.335256834316,156072.44901614025,3248038.023333973,52512.82348302319,1412.7439740942125,211874.54479318394,390054.6219563341,4224.884637191846,652385.6289445811,5406.250952525738,61020.117589952075,1207.6639259486417,0.0,1574579.526164464,0.0,7989.438355830803,136.009876096012,180.64704840531354,1655.242572639285,346643.3548966958,0.0,32672.24558505213,27581.59631963588,101328.86219406666,814.9721283334467,38040.18277546979,17669.965102055892,20763.006064980797,339486.4893827321,1051362.0996269595,0.0,0.0
