# General
## Title
### Electricity Demand
## Abstract
### ERA5
## Date
### 2024-11-06
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MW hours
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : WEMC
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@wemcouncil.org
### Organisation name
#### World Energy & Meteorology Council
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### NA
## Temporal extent
## Begin date
### 1979-01-01-0000
## End date
### 2024-10-31-2300
## Temporal resolution
### 1 month
## Geographic bounding box
### westBoundLongitude -22.00
### eastBoundLongitude 45.00
### southBoundLatitude 27.00
### northBoundLatitude 72.00
## Spatial resolution
### NUTS0
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK
1979-01-31,9238.8,1618.9967741935484,11645.95806451613,5413.6,9625.648387096773,538.9516129032259,9492.032258064517,66335.9129032258,4660.467741935484,1233.5451612903225,6300.770967741935,30014.290322580644,12877.890322580644,78835.9870967742,2244.203225806452,5074.845161290323,3540.8483870967743,37181.49032258064,1431.9032258064517,768.5774193548388,1006.9903225806452,467.14838709677423,1163.3548387096773,14445.174193548388,21355.609677419354,18994.364516129033,6247.651612903226,6588.593548387096,5725.887096774193,21993.383870967744,1753.4516129032259,3639.1161290322584,49045.458064516126
1979-02-28,8942.246428571429,1512.2178571428572,11041.94642857143,5170.1107142857145,8487.764285714286,490.99285714285713,8762.103571428572,66049.45714285715,4628.371428571429,1193.1285714285714,5978.525000000001,30474.20357142857,12268.264285714287,70617.05,2109.9392857142857,4945.435714285714,3457.8892857142855,37375.625,1415.7035714285714,789.7071428571428,975.2464285714285,431.2142857142857,1058.4107142857142,14209.057142857142,20296.464285714286,18858.875,6144.9857142857145,6635.592857142858,5385.996428571429,21546.592857142856,1695.1392857142857,3546.378571428572,48122.489285714284
1979-03-31,8480.58064516129,1427.0354838709677,10415.145161290322,4513.109677419355,7716.232258064517,440.2483870967742,8035.051612903226,62209.59032258065,4277.822580645161,1040.1064516129031,5361.822580645161,29812.974193548387,10687.612903225807,64099.958064516126,1958.1806451612904,4670.077419354839,3266.064516129032,35983.81290322581,1293.974193548387,764.7064516129033,883.2322580645161,398.5774193548387,955.9741935483871,13226.790322580646,17492.322580645163,17879.106451612904,5991.822580645161,6210.832258064515,4825.067741935484,18314.129032258064,1614.532258064516,3362.8193548387094,43996.73870967742
1979-04-30,7915.953333333334,1388.03,9735.956666666667,4147.443333333334,7129.59,401.6566666666667,7355.740000000001,58463.84,3776.7066666666665,951.1666666666666,5003.263333333333,27214.653333333332,9835.683333333332,58075.316666666666,1838.2366666666667,4473.426666666666,2994.29,33330.30333333333,1192.6166666666666,722.4133333333334,805.8633333333333,383.5733333333334,927.9266666666666,12407.07,15034.46,16591.553333333333,5433.746666666667,5819.3966666666665,4506.133333333333,15926.283333333333,1508.4866666666667,3119.1433333333334,38980.74333333333
1979-05-31,7514.670967741935,1286.7225806451613,9349.967741935483,3682.312903225806,6828.241935483871,408.0290322580645,6830.945161290322,58061.393548387096,3612.329032258064,835.5451612903227,4842.996774193548,26448.63870967742,8697.922580645161,50202.20322580645,1784.3096774193548,4430.948387096774,2878.3064516129034,33947.40645161291,1146.0129032258064,714.1516129032258,747.0709677419355,336.241935483871,783.9580645161291,12291.545161290323,13581.535483870966,16170.23870967742,5273.251612903226,5522.916129032258,3877.8354838709674,14008.529032258066,1490.7935483870967,3011.9193548387098,37164.458064516126
1979-06-30,7348.13,1270.98,9108.283333333333,3682.8799999999997,6432.933333333333,495.38666666666666,6524.33,55990.676666666666,3494.1200000000003,758.6366666666667,5526.3099999999995,27097.07333333333,7775.9,45110.096666666665,1834.8366666666666,4496.653333333334,2745.3433333333332,35722.926666666666,1142.3233333333333,695.2166666666667,720.0933333333334,342.94666666666666,740.3366666666666,12030.276666666667,11715.513333333334,16106.686666666666,5325.34,5491.673333333334,3714.9033333333336,12696.706666666667,1509.0333333333333,2984.83,33998.45
1979-07-31,7307.087096774194,1278.6870967741936,8702.212903225805,3723.393548387097,6257.006451612903,564.8,6083.8677419354835,55761.012903225805,3257.1483870967745,738.5483870967741,5944.5419354838705,28289.448387096774,7727.580645161291,44980.070967741936,1895.6290322580646,4334.693548387097,2702.251612903226,37571.56774193548,1116.7677419354839,711.2741935483871,708.7161290322581,368.5451612903226,746.6064516129032,11881.674193548388,11012.364516129031,15758.074193548387,5585.029032258064,5362.732258064517,3651.606451612903,11732.496774193549,1447.0193548387097,2881.1645161290326,33325.22258064516
1979-08-31,7169.641935483871,1293.4419354838708,8846.129032258064,3793.71935483871,6245.8645161290315,554.1709677419354,6186.9548387096775,55662.86451612903,3516.141935483871,771.4161290322581,5387.858064516129,26939.94193548387,8181.796774193548,42153.21290322581,1900.0741935483873,4236.700000000001,2739.935483870968,31232.300000000003,1161.0709677419354,628.9677419354839,740.6354838709677,376.7741935483871,753.2258064516129,11922.616129032258,11517.603225806452,15874.161290322581,5232.822580645161,5297.56129032258,3683.125806451613,12667.545161290323,1410.6612903225807,2897.064516129032,33323.36129032258
1979-09-30,7532.133333333333,1297.4266666666667,9235.553333333333,3725.1600000000003,6482.543333333333,482.47333333333336,6567.996666666667,58121.57,3653.58,820.3366666666667,5032.503333333333,27091.106666666667,8655.926666666666,46075.060000000005,1803.8166666666666,4426.513333333333,2831.9466666666663,35051.26666666667,1177.0566666666666,712.9833333333333,758.1,340.49666666666667,750.8866666666667,12287.073333333334,12836.56,16486.586666666666,5375.6066666666675,5403.913333333333,3770.7366666666667,13865.966666666667,1490.02,3018.233333333333,35061.316666666666
1979-10-31,7910.106451612903,1395.5677419354838,9415.66451612903,4291.406451612904,6637.9548387096775,424.5290322580645,7221.403225806452,60312.8064516129,3889.748387096774,919.7322580645161,5121.725806451613,26796.132258064514,9823.470967741934,51273.0193548387,1840.406451612903,4586.1903225806445,2960.2096774193546,35200.43870967742,1264.9096774193547,721.9580645161291,833.3774193548387,353.46451612903223,870.6354838709677,12782.812903225808,15268.483870967742,17493.77741935484,5377.696774193549,6094.122580645161,4517.212903225806,16183.548387096775,1506.125806451613,3224.261290322581,37770.89677419355
